LKPR,SKBO,05:04+02:00,21:42-05:00,0,false|LKPR,SEQM,05:04+02:00,12:50-05:00,340|SEQM,SKBO,19:55-05:00,21:42-05:00,360
LKPR,SKBO,14:31+02:00,16:58-05:00,1,false|LKPR,SEQM,14:31+02:00,21:17-05:00,360|SEQM,SVMI,22:58-05:00,03:08-04:00,360|SVMI,SKBO,14:35-04:00,16:58-05:00,340
LKPR,SKBO,14:31+02:00,23:15-05:00,1,false|LKPR,SEQM,14:31+02:00,21:17-05:00,360|SEQM,SVMI,22:58-05:00,03:08-04:00,360|SVMI,SKBO,21:52-04:00,23:15-05:00,360
LKPR,SKBO,14:31+02:00,02:06-05:00,2,false|LKPR,SEQM,14:31+02:00,21:17-05:00,360|SEQM,LOWW,22:20-05:00,19:17+02:00,300|LOWW,SKBO,19:56+02:00,02:06-05:00,360
LKPR,SKBO,05:13+02:00,16:58-05:00,0,false|LKPR,SVMI,05:13+02:00,11:50-04:00,300|SVMI,SKBO,14:35-04:00,16:58-05:00,340
LKPR,SKBO,05:13+02:00,23:15-05:00,0,false|LKPR,SVMI,05:13+02:00,11:50-04:00,300|SVMI,SKBO,21:52-04:00,23:15-05:00,360
LKPR,SKBO,05:13+02:00,21:42-05:00,0,false|LKPR,SVMI,05:13+02:00,11:50-04:00,300|SVMI,SEQM,14:49-04:00,17:59-05:00,300|SEQM,SKBO,19:55-05:00,21:42-05:00,360
LKPR,SKBO,05:13+02:00,19:28-05:00,1,false|LKPR,SVMI,05:13+02:00,11:50-04:00,300|SVMI,SBBR,20:41-04:00,03:03-03:00,300|SBBR,SKBO,15:53-03:00,19:28-05:00,360
LKPR,SKBO,05:13+02:00,01:32-05:00,2,false|LKPR,SVMI,05:13+02:00,11:50-04:00,300|SVMI,SBBR,20:41-04:00,03:03-03:00,300|SBBR,SKBO,21:57-03:00,01:32-05:00,360
LKPR,SKBO,05:13+02:00,22:25-05:00,0,false|LKPR,SVMI,05:13+02:00,11:50-04:00,300|SVMI,SPIM,13:09-04:00,17:35-05:00,360|SPIM,SKBO,18:09-05:00,22:25-05:00,340
LKPR,SKBO,05:13+02:00,10:27-05:00,1,false|LKPR,SVMI,05:13+02:00,11:50-04:00,300|SVMI,SGAS,22:21-04:00,05:23-04:00,320|SGAS,SKBO,05:47-04:00,10:27-05:00,340
LKPR,SKBO,05:13+02:00,13:50-05:00,1,false|LKPR,SVMI,05:13+02:00,11:50-04:00,300|SVMI,SGAS,22:21-04:00,05:23-04:00,320|SGAS,SKBO,08:10-04:00,13:50-05:00,300
LKPR,SKBO,05:13+02:00,20:51-05:00,1,false|LKPR,SVMI,05:13+02:00,11:50-04:00,300|SVMI,SGAS,22:21-04:00,05:23-04:00,320|SGAS,SKBO,15:11-04:00,20:51-05:00,320
LKPR,SKBO,05:13+02:00,02:43-05:00,2,false|LKPR,SVMI,05:13+02:00,11:50-04:00,300|SVMI,SGAS,22:21-04:00,05:23-04:00,320|SGAS,SKBO,21:03-04:00,02:43-05:00,320
LKPR,SKBO,05:13+02:00,17:51-05:00,1,false|LKPR,SVMI,05:13+02:00,11:50-04:00,300|SVMI,SUAA,19:49-04:00,04:06-03:00,300|SUAA,SKBO,12:02-03:00,17:51-05:00,340
LKPR,SKBO,05:13+02:00,01:22-05:00,2,false|LKPR,SVMI,05:13+02:00,11:50-04:00,300|SVMI,LATI,18:33-04:00,13:42+02:00,340|LATI,SKBO,18:50+02:00,01:22-05:00,300
LKPR,SKBO,05:13+02:00,20:00-05:00,1,false|LKPR,SVMI,05:13+02:00,11:50-04:00,300|SVMI,EDDI,17:38-04:00,11:10+02:00,340|EDDI,SKBO,14:07+02:00,20:00-05:00,300
LKPR,SKBO,05:13+02:00,01:40-05:00,2,false|LKPR,SVMI,05:13+02:00,11:50-04:00,300|SVMI,EDDI,17:38-04:00,11:10+02:00,340|EDDI,SKBO,19:47+02:00,01:40-05:00,340
LKPR,SKBO,05:13+02:00,02:06-05:00,2,false|LKPR,SVMI,05:13+02:00,11:50-04:00,300|SVMI,LOWW,21:54-04:00,15:42+02:00,360|LOWW,SKBO,19:56+02:00,02:06-05:00,360
LKPR,SKBO,05:13+02:00,21:48-05:00,1,false|LKPR,SVMI,05:13+02:00,11:50-04:00,300|SVMI,EBCI,20:57-04:00,13:40+02:00,360|EBCI,SKBO,15:43+02:00,21:48-05:00,340
LKPR,SKBO,11:28+02:00,23:15-05:00,0,false|LKPR,SVMI,11:28+02:00,17:05-04:00,300|SVMI,SKBO,21:52-04:00,23:15-05:00,360
LKPR,SKBO,11:28+02:00,19:28-05:00,1,false|LKPR,SVMI,11:28+02:00,17:05-04:00,300|SVMI,SBBR,20:41-04:00,03:03-03:00,300|SBBR,SKBO,15:53-03:00,19:28-05:00,360
LKPR,SKBO,11:28+02:00,01:32-05:00,2,false|LKPR,SVMI,11:28+02:00,17:05-04:00,300|SVMI,SBBR,20:41-04:00,03:03-03:00,300|SBBR,SKBO,21:57-03:00,01:32-05:00,360
LKPR,SKBO,11:28+02:00,10:27-05:00,1,false|LKPR,SVMI,11:28+02:00,17:05-04:00,300|SVMI,SGAS,22:21-04:00,05:23-04:00,320|SGAS,SKBO,05:47-04:00,10:27-05:00,340
LKPR,SKBO,11:28+02:00,13:50-05:00,1,false|LKPR,SVMI,11:28+02:00,17:05-04:00,300|SVMI,SGAS,22:21-04:00,05:23-04:00,320|SGAS,SKBO,08:10-04:00,13:50-05:00,300
LKPR,SKBO,11:28+02:00,20:51-05:00,1,false|LKPR,SVMI,11:28+02:00,17:05-04:00,300|SVMI,SGAS,22:21-04:00,05:23-04:00,320|SGAS,SKBO,15:11-04:00,20:51-05:00,320
LKPR,SKBO,11:28+02:00,02:43-05:00,2,false|LKPR,SVMI,11:28+02:00,17:05-04:00,300|SVMI,SGAS,22:21-04:00,05:23-04:00,320|SGAS,SKBO,21:03-04:00,02:43-05:00,320
LKPR,SKBO,11:28+02:00,17:51-05:00,1,false|LKPR,SVMI,11:28+02:00,17:05-04:00,300|SVMI,SUAA,19:49-04:00,04:06-03:00,300|SUAA,SKBO,12:02-03:00,17:51-05:00,340
LKPR,SKBO,11:28+02:00,01:22-05:00,2,false|LKPR,SVMI,11:28+02:00,17:05-04:00,300|SVMI,LATI,18:33-04:00,13:42+02:00,340|LATI,SKBO,18:50+02:00,01:22-05:00,300
LKPR,SKBO,11:28+02:00,20:00-05:00,1,false|LKPR,SVMI,11:28+02:00,17:05-04:00,300|SVMI,EDDI,17:38-04:00,11:10+02:00,340|EDDI,SKBO,14:07+02:00,20:00-05:00,300
LKPR,SKBO,11:28+02:00,01:40-05:00,2,false|LKPR,SVMI,11:28+02:00,17:05-04:00,300|SVMI,EDDI,17:38-04:00,11:10+02:00,340|EDDI,SKBO,19:47+02:00,01:40-05:00,340
LKPR,SKBO,11:28+02:00,02:06-05:00,2,false|LKPR,SVMI,11:28+02:00,17:05-04:00,300|SVMI,LOWW,21:54-04:00,15:42+02:00,360|LOWW,SKBO,19:56+02:00,02:06-05:00,360
LKPR,SKBO,11:28+02:00,21:48-05:00,1,false|LKPR,SVMI,11:28+02:00,17:05-04:00,300|SVMI,EBCI,20:57-04:00,13:40+02:00,360|EBCI,SKBO,15:43+02:00,21:48-05:00,340
LKPR,SKBO,18:36+02:00,08:56-05:00,1,false|LKPR,SVMI,18:36+02:00,00:13-04:00,340|SVMI,SKBO,06:33-04:00,08:56-05:00,340
LKPR,SKBO,18:36+02:00,16:58-05:00,1,false|LKPR,SVMI,18:36+02:00,00:13-04:00,340|SVMI,SKBO,14:35-04:00,16:58-05:00,340
LKPR,SKBO,18:36+02:00,23:15-05:00,1,false|LKPR,SVMI,18:36+02:00,00:13-04:00,340|SVMI,SKBO,21:52-04:00,23:15-05:00,360
LKPR,SKBO,18:36+02:00,10:52-05:00,1,false|LKPR,SVMI,18:36+02:00,00:13-04:00,340|SVMI,SEQM,02:00-04:00,05:10-05:00,340|SEQM,SKBO,08:05-05:00,10:52-05:00,320
LKPR,SKBO,18:36+02:00,21:42-05:00,1,false|LKPR,SVMI,18:36+02:00,00:13-04:00,340|SVMI,SEQM,02:00-04:00,05:10-05:00,340|SEQM,SKBO,19:55-05:00,21:42-05:00,360
LKPR,SKBO,18:36+02:00,21:42-05:00,1,false|LKPR,SVMI,18:36+02:00,00:13-04:00,340|SVMI,SEQM,14:49-04:00,17:59-05:00,300|SEQM,SKBO,19:55-05:00,21:42-05:00,360
LKPR,SKBO,18:36+02:00,22:25-05:00,1,false|LKPR,SVMI,18:36+02:00,00:13-04:00,340|SVMI,SPIM,05:03-04:00,09:29-05:00,300|SPIM,SKBO,18:09-05:00,22:25-05:00,340
LKPR,SKBO,18:36+02:00,22:25-05:00,1,false|LKPR,SVMI,18:36+02:00,00:13-04:00,340|SVMI,SPIM,06:23-04:00,10:49-05:00,320|SPIM,SKBO,18:09-05:00,22:25-05:00,340
LKPR,SKBO,18:36+02:00,22:25-05:00,1,false|LKPR,SVMI,18:36+02:00,00:13-04:00,340|SVMI,SPIM,13:09-04:00,17:35-05:00,360|SPIM,SKBO,18:09-05:00,22:25-05:00,340
LKPR,SKBO,18:36+02:00,23:04-05:00,1,false|LKPR,SVMI,18:36+02:00,00:13-04:00,340|SVMI,SLLP,01:15-04:00,06:53-04:00,300|SLLP,SKBO,20:09-04:00,23:04-05:00,300
LKPR,SKBO,18:36+02:00,02:40-05:00,2,false|LKPR,SVMI,18:36+02:00,00:13-04:00,340|SVMI,SABE,09:46-04:00,18:00-03:00,320|SABE,SKBO,21:57-03:00,02:40-05:00,340
LKPR,SKBO,18:36+02:00,13:50-05:00,1,false|LKPR,SVMI,18:36+02:00,00:13-04:00,340|SVMI,SGAS,00:41-04:00,07:43-04:00,300|SGAS,SKBO,08:10-04:00,13:50-05:00,300
LKPR,SKBO,18:36+02:00,20:51-05:00,1,false|LKPR,SVMI,18:36+02:00,00:13-04:00,340|SVMI,SGAS,00:41-04:00,07:43-04:00,300|SGAS,SKBO,15:11-04:00,20:51-05:00,320
LKPR,SKBO,18:36+02:00,02:43-05:00,2,false|LKPR,SVMI,18:36+02:00,00:13-04:00,340|SVMI,SGAS,00:41-04:00,07:43-04:00,300|SGAS,SKBO,21:03-04:00,02:43-05:00,320
LKPR,SKBO,18:36+02:00,20:51-05:00,1,false|LKPR,SVMI,18:36+02:00,00:13-04:00,340|SVMI,SGAS,08:58-04:00,15:00-04:00,360|SGAS,SKBO,15:11-04:00,20:51-05:00,320
LKPR,SKBO,18:36+02:00,02:43-05:00,2,false|LKPR,SVMI,18:36+02:00,00:13-04:00,340|SVMI,SGAS,08:58-04:00,15:00-04:00,360|SGAS,SKBO,21:03-04:00,02:43-05:00,320
LKPR,SKBO,18:36+02:00,10:27-05:00,2,false|LKPR,SVMI,18:36+02:00,00:13-04:00,340|SVMI,SGAS,22:21-04:00,05:23-04:00,320|SGAS,SKBO,05:47-04:00,10:27-05:00,340
LKPR,SKBO,18:36+02:00,13:50-05:00,2,false|LKPR,SVMI,18:36+02:00,00:13-04:00,340|SVMI,SGAS,22:21-04:00,05:23-04:00,320|SGAS,SKBO,08:10-04:00,13:50-05:00,300
LKPR,SKBO,18:36+02:00,17:51-05:00,1,false|LKPR,SVMI,18:36+02:00,00:13-04:00,340|SVMI,SUAA,00:22-04:00,09:39-03:00,320|SUAA,SKBO,12:02-03:00,17:51-05:00,340
LKPR,SKBO,18:36+02:00,17:51-05:00,2,false|LKPR,SVMI,18:36+02:00,00:13-04:00,340|SVMI,SUAA,19:49-04:00,04:06-03:00,300|SUAA,SKBO,12:02-03:00,17:51-05:00,340
LKPR,SKBO,18:36+02:00,15:49-05:00,2,false|LKPR,SVMI,18:36+02:00,00:13-04:00,340|SVMI,LATI,11:29-04:00,06:38+02:00,320|LATI,SKBO,08:17+02:00,15:49-05:00,360
LKPR,SKBO,18:36+02:00,01:40-05:00,2,false|LKPR,SVMI,18:36+02:00,00:13-04:00,340|SVMI,EDDI,01:38-04:00,19:10+02:00,360|EDDI,SKBO,19:47+02:00,01:40-05:00,340
LKPR,SKBO,18:36+02:00,12:46-05:00,2,false|LKPR,SVMI,18:36+02:00,00:13-04:00,340|SVMI,EDDI,11:45-04:00,05:17+02:00,300|EDDI,SKBO,06:53+02:00,12:46-05:00,340
LKPR,SKBO,18:36+02:00,11:54-05:00,2,false|LKPR,SVMI,18:36+02:00,00:13-04:00,340|SVMI,EBCI,09:37-04:00,02:20+02:00,300|EBCI,SKBO,05:49+02:00,11:54-05:00,360
LKPR,SKBO,02:16+02:00,19:28-05:00,0,false|LKPR,SBBR,02:16+02:00,10:02-03:00,340|SBBR,SKBO,15:53-03:00,19:28-05:00,360
LKPR,SKBO,02:16+02:00,01:32-05:00,1,false|LKPR,SBBR,02:16+02:00,10:02-03:00,340|SBBR,SKBO,21:57-03:00,01:32-05:00,360
LKPR,SKBO,02:16+02:00,23:04-05:00,0,false|LKPR,SBBR,02:16+02:00,10:02-03:00,340|SBBR,SLLP,14:06-03:00,17:56-04:00,300|SLLP,SKBO,20:09-04:00,23:04-05:00,300
LKPR,SKBO,02:16+02:00,11:08-05:00,1,false|LKPR,SBBR,02:16+02:00,10:02-03:00,340|SBBR,SCEL,22:16-03:00,03:07-03:00,340|SCEL,SKBO,06:56-03:00,11:08-05:00,300
LKPR,SKBO,02:16+02:00,15:55-05:00,1,false|LKPR,SBBR,02:16+02:00,10:02-03:00,340|SBBR,SCEL,22:16-03:00,03:07-03:00,340|SCEL,SKBO,10:43-03:00,15:55-05:00,340
LKPR,SKBO,02:16+02:00,22:53-05:00,1,false|LKPR,SBBR,02:16+02:00,10:02-03:00,340|SBBR,SCEL,22:16-03:00,03:07-03:00,340|SCEL,SKBO,17:41-03:00,22:53-05:00,360
LKPR,SKBO,02:16+02:00,02:40-05:00,1,false|LKPR,SBBR,02:16+02:00,10:02-03:00,340|SBBR,SABE,10:17-03:00,14:16-03:00,360|SABE,SKBO,21:57-03:00,02:40-05:00,340
LKPR,SKBO,02:16+02:00,02:40-05:00,1,false|LKPR,SBBR,02:16+02:00,10:02-03:00,340|SBBR,SABE,13:28-03:00,17:27-03:00,360|SABE,SKBO,21:57-03:00,02:40-05:00,340
LKPR,SKBO,02:16+02:00,07:40-05:00,1,false|LKPR,SBBR,02:16+02:00,10:02-03:00,340|SBBR,SABE,20:43-03:00,00:42-03:00,320|SABE,SKBO,02:57-03:00,07:40-05:00,320
LKPR,SKBO,02:16+02:00,14:27-05:00,1,false|LKPR,SBBR,02:16+02:00,10:02-03:00,340|SBBR,SABE,20:43-03:00,00:42-03:00,320|SABE,SKBO,09:44-03:00,14:27-05:00,340
LKPR,SKBO,02:16+02:00,02:43-05:00,1,false|LKPR,SBBR,02:16+02:00,10:02-03:00,340|SBBR,SGAS,17:21-03:00,19:16-04:00,320|SGAS,SKBO,21:03-04:00,02:43-05:00,320
LKPR,SKBO,02:16+02:00,10:27-05:00,1,false|LKPR,SBBR,02:16+02:00,10:02-03:00,340|SBBR,SGAS,22:32-03:00,00:27-04:00,320|SGAS,SKBO,05:47-04:00,10:27-05:00,340
LKPR,SKBO,02:16+02:00,13:50-05:00,1,false|LKPR,SBBR,02:16+02:00,10:02-03:00,340|SBBR,SGAS,22:32-03:00,00:27-04:00,320|SGAS,SKBO,08:10-04:00,13:50-05:00,300
LKPR,SKBO,02:16+02:00,20:51-05:00,1,false|LKPR,SBBR,02:16+02:00,10:02-03:00,340|SBBR,SGAS,22:32-03:00,00:27-04:00,320|SGAS,SKBO,15:11-04:00,20:51-05:00,320
LKPR,SKBO,02:16+02:00,15:49-05:00,1,false|LKPR,SBBR,02:16+02:00,10:02-03:00,340|SBBR,LATI,10:21-03:00,04:55+02:00,360|LATI,SKBO,08:17+02:00,15:49-05:00,360
LKPR,SKBO,02:16+02:00,01:22-05:00,2,false|LKPR,SBBR,02:16+02:00,10:02-03:00,340|SBBR,LATI,10:21-03:00,04:55+02:00,360|LATI,SKBO,18:50+02:00,01:22-05:00,300
LKPR,SKBO,02:16+02:00,01:22-05:00,2,false|LKPR,SBBR,02:16+02:00,10:02-03:00,340|SBBR,LATI,18:21-03:00,12:55+02:00,340|LATI,SKBO,18:50+02:00,01:22-05:00,300
LKPR,SKBO,02:16+02:00,12:46-05:00,1,false|LKPR,SBBR,02:16+02:00,10:02-03:00,340|SBBR,EDDI,11:05-03:00,05:55+02:00,340|EDDI,SKBO,06:53+02:00,12:46-05:00,340
LKPR,SKBO,02:16+02:00,20:00-05:00,1,false|LKPR,SBBR,02:16+02:00,10:02-03:00,340|SBBR,EDDI,11:05-03:00,05:55+02:00,340|EDDI,SKBO,14:07+02:00,20:00-05:00,300
LKPR,SKBO,02:16+02:00,01:40-05:00,2,false|LKPR,SBBR,02:16+02:00,10:02-03:00,340|SBBR,EDDI,11:05-03:00,05:55+02:00,340|EDDI,SKBO,19:47+02:00,01:40-05:00,340
LKPR,SKBO,02:16+02:00,20:00-05:00,1,false|LKPR,SBBR,02:16+02:00,10:02-03:00,340|SBBR,EDDI,16:10-03:00,10:00+02:00,300|EDDI,SKBO,14:07+02:00,20:00-05:00,300
LKPR,SKBO,02:16+02:00,01:40-05:00,2,false|LKPR,SBBR,02:16+02:00,10:02-03:00,340|SBBR,EDDI,16:10-03:00,10:00+02:00,300|EDDI,SKBO,19:47+02:00,01:40-05:00,340
LKPR,SKBO,02:16+02:00,02:06-05:00,2,false|LKPR,SBBR,02:16+02:00,10:02-03:00,340|SBBR,LOWW,14:08-03:00,08:54+02:00,300|LOWW,SKBO,19:56+02:00,02:06-05:00,360
LKPR,SKBO,02:16+02:00,02:06-05:00,2,false|LKPR,SBBR,02:16+02:00,10:02-03:00,340|SBBR,LOWW,16:12-03:00,10:58+02:00,360|LOWW,SKBO,19:56+02:00,02:06-05:00,360
LKPR,SKBO,02:16+02:00,21:48-05:00,1,false|LKPR,SBBR,02:16+02:00,10:02-03:00,340|SBBR,EBCI,12:12-03:00,06:14+02:00,360|EBCI,SKBO,15:43+02:00,21:48-05:00,340
LKPR,SKBO,02:16+02:00,21:48-05:00,1,false|LKPR,SBBR,02:16+02:00,10:02-03:00,340|SBBR,EBCI,17:11-03:00,11:13+02:00,340|EBCI,SKBO,15:43+02:00,21:48-05:00,340
LKPR,SKBO,06:29+02:00,19:28-05:00,0,false|LKPR,SBBR,06:29+02:00,14:15-03:00,320|SBBR,SKBO,15:53-03:00,19:28-05:00,360
LKPR,SKBO,06:29+02:00,01:32-05:00,1,false|LKPR,SBBR,06:29+02:00,14:15-03:00,320|SBBR,SKBO,21:57-03:00,01:32-05:00,360
LKPR,SKBO,06:29+02:00,11:08-05:00,1,false|LKPR,SBBR,06:29+02:00,14:15-03:00,320|SBBR,SCEL,22:16-03:00,03:07-03:00,340|SCEL,SKBO,06:56-03:00,11:08-05:00,300
LKPR,SKBO,06:29+02:00,15:55-05:00,1,false|LKPR,SBBR,06:29+02:00,14:15-03:00,320|SBBR,SCEL,22:16-03:00,03:07-03:00,340|SCEL,SKBO,10:43-03:00,15:55-05:00,340
LKPR,SKBO,06:29+02:00,22:53-05:00,1,false|LKPR,SBBR,06:29+02:00,14:15-03:00,320|SBBR,SCEL,22:16-03:00,03:07-03:00,340|SCEL,SKBO,17:41-03:00,22:53-05:00,360
LKPR,SKBO,06:29+02:00,07:40-05:00,1,false|LKPR,SBBR,06:29+02:00,14:15-03:00,320|SBBR,SABE,20:43-03:00,00:42-03:00,320|SABE,SKBO,02:57-03:00,07:40-05:00,320
LKPR,SKBO,06:29+02:00,14:27-05:00,1,false|LKPR,SBBR,06:29+02:00,14:15-03:00,320|SBBR,SABE,20:43-03:00,00:42-03:00,320|SABE,SKBO,09:44-03:00,14:27-05:00,340
LKPR,SKBO,06:29+02:00,02:40-05:00,2,false|LKPR,SBBR,06:29+02:00,14:15-03:00,320|SBBR,SABE,20:43-03:00,00:42-03:00,320|SABE,SKBO,21:57-03:00,02:40-05:00,340
LKPR,SKBO,06:29+02:00,02:43-05:00,1,false|LKPR,SBBR,06:29+02:00,14:15-03:00,320|SBBR,SGAS,17:21-03:00,19:16-04:00,320|SGAS,SKBO,21:03-04:00,02:43-05:00,320
LKPR,SKBO,06:29+02:00,10:27-05:00,1,false|LKPR,SBBR,06:29+02:00,14:15-03:00,320|SBBR,SGAS,22:32-03:00,00:27-04:00,320|SGAS,SKBO,05:47-04:00,10:27-05:00,340
LKPR,SKBO,06:29+02:00,13:50-05:00,1,false|LKPR,SBBR,06:29+02:00,14:15-03:00,320|SBBR,SGAS,22:32-03:00,00:27-04:00,320|SGAS,SKBO,08:10-04:00,13:50-05:00,300
LKPR,SKBO,06:29+02:00,20:51-05:00,1,false|LKPR,SBBR,06:29+02:00,14:15-03:00,320|SBBR,SGAS,22:32-03:00,00:27-04:00,320|SGAS,SKBO,15:11-04:00,20:51-05:00,320
LKPR,SKBO,06:29+02:00,02:43-05:00,2,false|LKPR,SBBR,06:29+02:00,14:15-03:00,320|SBBR,SGAS,22:32-03:00,00:27-04:00,320|SGAS,SKBO,21:03-04:00,02:43-05:00,320
LKPR,SKBO,06:29+02:00,01:22-05:00,2,false|LKPR,SBBR,06:29+02:00,14:15-03:00,320|SBBR,LATI,18:21-03:00,12:55+02:00,340|LATI,SKBO,18:50+02:00,01:22-05:00,300
LKPR,SKBO,06:29+02:00,20:00-05:00,1,false|LKPR,SBBR,06:29+02:00,14:15-03:00,320|SBBR,EDDI,16:10-03:00,10:00+02:00,300|EDDI,SKBO,14:07+02:00,20:00-05:00,300
LKPR,SKBO,06:29+02:00,01:40-05:00,2,false|LKPR,SBBR,06:29+02:00,14:15-03:00,320|SBBR,EDDI,16:10-03:00,10:00+02:00,300|EDDI,SKBO,19:47+02:00,01:40-05:00,340
LKPR,SKBO,06:29+02:00,02:06-05:00,2,false|LKPR,SBBR,06:29+02:00,14:15-03:00,320|SBBR,LOWW,16:12-03:00,10:58+02:00,360|LOWW,SKBO,19:56+02:00,02:06-05:00,360
LKPR,SKBO,06:29+02:00,21:48-05:00,1,false|LKPR,SBBR,06:29+02:00,14:15-03:00,320|SBBR,EBCI,17:11-03:00,11:13+02:00,340|EBCI,SKBO,15:43+02:00,21:48-05:00,340
LKPR,SKBO,12:08+02:00,01:32-05:00,1,false|LKPR,SBBR,12:08+02:00,20:54-03:00,300|SBBR,SKBO,21:57-03:00,01:32-05:00,360
LKPR,SKBO,12:08+02:00,11:08-05:00,1,false|LKPR,SBBR,12:08+02:00,20:54-03:00,300|SBBR,SCEL,22:16-03:00,03:07-03:00,340|SCEL,SKBO,06:56-03:00,11:08-05:00,300
LKPR,SKBO,12:08+02:00,15:55-05:00,1,false|LKPR,SBBR,12:08+02:00,20:54-03:00,300|SBBR,SCEL,22:16-03:00,03:07-03:00,340|SCEL,SKBO,10:43-03:00,15:55-05:00,340
LKPR,SKBO,12:08+02:00,22:53-05:00,1,false|LKPR,SBBR,12:08+02:00,20:54-03:00,300|SBBR,SCEL,22:16-03:00,03:07-03:00,340|SCEL,SKBO,17:41-03:00,22:53-05:00,360
LKPR,SKBO,12:08+02:00,10:27-05:00,1,false|LKPR,SBBR,12:08+02:00,20:54-03:00,300|SBBR,SGAS,22:32-03:00,00:27-04:00,320|SGAS,SKBO,05:47-04:00,10:27-05:00,340
