OMDB,SKBO,00:23+04:00,21:42-05:00,0,false|OMDB,SEQM,00:23+04:00,10:19-05:00,320|SEQM,SKBO,19:55-05:00,21:42-05:00,360
OMDB,SKBO,11:32+04:00,16:58-05:00,1,false|OMDB,SEQM,11:32+04:00,21:28-05:00,340|SEQM,SVMI,22:58-05:00,03:08-04:00,360|SVMI,SKBO,14:35-04:00,16:58-05:00,340
OMDB,SKBO,11:32+04:00,23:15-05:00,1,false|OMDB,SEQM,11:32+04:00,21:28-05:00,340|SEQM,SVMI,22:58-05:00,03:08-04:00,360|SVMI,SKBO,21:52-04:00,23:15-05:00,360
OMDB,SKBO,11:32+04:00,02:06-05:00,2,false|OMDB,SEQM,11:32+04:00,21:28-05:00,340|SEQM,LOWW,22:20-05:00,19:17+02:00,300|LOWW,SKBO,19:56+02:00,02:06-05:00,360
OMDB,SKBO,14:35+04:00,06:16-05:00,1,false|OMDB,SEQM,14:35+04:00,00:31-05:00,360|SEQM,SKBO,04:29-05:00,06:16-05:00,340
OMDB,SKBO,14:35+04:00,10:52-05:00,1,false|OMDB,SEQM,14:35+04:00,00:31-05:00,360|SEQM,SKBO,08:05-05:00,10:52-05:00,320
OMDB,SKBO,14:35+04:00,21:42-05:00,1,false|OMDB,SEQM,14:35+04:00,00:31-05:00,360|SEQM,SKBO,19:55-05:00,21:42-05:00,360
OMDB,SKBO,14:35+04:00,23:15-05:00,1,false|OMDB,SEQM,14:35+04:00,00:31-05:00,360|SEQM,SVMI,09:29-05:00,14:39-04:00,320|SVMI,SKBO,21:52-04:00,23:15-05:00,360
OMDB,SKBO,14:35+04:00,08:56-05:00,2,false|OMDB,SEQM,14:35+04:00,00:31-05:00,360|SEQM,SVMI,22:58-05:00,03:08-04:00,360|SVMI,SKBO,06:33-04:00,08:56-05:00,340
OMDB,SKBO,14:35+04:00,19:28-05:00,1,false|OMDB,SEQM,14:35+04:00,00:31-05:00,360|SEQM,SBBR,06:11-05:00,14:57-03:00,300|SBBR,SKBO,15:53-03:00,19:28-05:00,360
OMDB,SKBO,14:35+04:00,01:32-05:00,2,false|OMDB,SEQM,14:35+04:00,00:31-05:00,360|SEQM,SBBR,06:11-05:00,14:57-03:00,300|SBBR,SKBO,21:57-03:00,01:32-05:00,360
OMDB,SKBO,14:35+04:00,01:32-05:00,2,false|OMDB,SEQM,14:35+04:00,00:31-05:00,360|SEQM,SBBR,10:54-05:00,18:40-03:00,300|SBBR,SKBO,21:57-03:00,01:32-05:00,360
OMDB,SKBO,14:35+04:00,07:37-05:00,2,false|OMDB,SEQM,14:35+04:00,00:31-05:00,360|SEQM,SBBR,18:26-05:00,02:12-03:00,320|SBBR,SKBO,03:02-03:00,07:37-05:00,320
OMDB,SKBO,14:35+04:00,08:51-05:00,1,false|OMDB,SEQM,14:35+04:00,00:31-05:00,360|SEQM,SPIM,00:41-05:00,03:22-05:00,360|SPIM,SKBO,04:35-05:00,08:51-05:00,340
OMDB,SKBO,14:35+04:00,12:18-05:00,1,false|OMDB,SEQM,14:35+04:00,00:31-05:00,360|SEQM,SPIM,00:41-05:00,03:22-05:00,360|SPIM,SKBO,08:02-05:00,12:18-05:00,300
OMDB,SKBO,14:35+04:00,22:25-05:00,1,false|OMDB,SEQM,14:35+04:00,00:31-05:00,360|SEQM,SPIM,00:41-05:00,03:22-05:00,360|SPIM,SKBO,18:09-05:00,22:25-05:00,340
OMDB,SKBO,14:35+04:00,22:25-05:00,1,false|OMDB,SEQM,14:35+04:00,00:31-05:00,360|SEQM,SPIM,11:17-05:00,14:58-05:00,320|SPIM,SKBO,18:09-05:00,22:25-05:00,340
OMDB,SKBO,14:35+04:00,23:04-05:00,1,false|OMDB,SEQM,14:35+04:00,00:31-05:00,360|SEQM,SLLP,03:09-05:00,08:46-04:00,340|SLLP,SKBO,20:09-04:00,23:04-05:00,300
OMDB,SKBO,14:35+04:00,23:04-05:00,1,false|OMDB,SEQM,14:35+04:00,00:31-05:00,360|SEQM,SLLP,08:25-05:00,13:02-04:00,320|SLLP,SKBO,20:09-04:00,23:04-05:00,300
OMDB,SKBO,14:35+04:00,22:53-05:00,1,false|OMDB,SEQM,14:35+04:00,00:31-05:00,360|SEQM,SCEL,05:01-05:00,13:45-03:00,300|SCEL,SKBO,17:41-03:00,22:53-05:00,360
OMDB,SKBO,14:35+04:00,11:08-05:00,2,false|OMDB,SEQM,14:35+04:00,00:31-05:00,360|SEQM,SCEL,17:49-05:00,01:33-03:00,320|SCEL,SKBO,06:56-03:00,11:08-05:00,300
OMDB,SKBO,14:35+04:00,02:40-05:00,2,false|OMDB,SEQM,14:35+04:00,00:31-05:00,360|SEQM,SABE,03:16-05:00,12:41-03:00,300|SABE,SKBO,21:57-03:00,02:40-05:00,340
OMDB,SKBO,14:35+04:00,02:40-05:00,2,false|OMDB,SEQM,14:35+04:00,00:31-05:00,360|SEQM,SABE,11:54-05:00,20:19-03:00,300|SABE,SKBO,21:57-03:00,02:40-05:00,340
OMDB,SKBO,14:35+04:00,14:27-05:00,2,false|OMDB,SEQM,14:35+04:00,00:31-05:00,360|SEQM,SABE,18:08-05:00,03:33-03:00,320|SABE,SKBO,09:44-03:00,14:27-05:00,340
OMDB,SKBO,14:35+04:00,02:43-05:00,2,false|OMDB,SEQM,14:35+04:00,00:31-05:00,360|SEQM,SGAS,10:06-05:00,17:36-04:00,300|SGAS,SKBO,21:03-04:00,02:43-05:00,320
OMDB,SKBO,23:10+04:00,21:42-05:00,1,false|OMDB,SEQM,23:10+04:00,09:06-05:00,320|SEQM,SKBO,19:55-05:00,21:42-05:00,360
OMDB,SKBO,23:10+04:00,23:15-05:00,1,false|OMDB,SEQM,23:10+04:00,09:06-05:00,320|SEQM,SVMI,09:29-05:00,14:39-04:00,320|SVMI,SKBO,21:52-04:00,23:15-05:00,360
OMDB,SKBO,23:10+04:00,08:56-05:00,2,false|OMDB,SEQM,23:10+04:00,09:06-05:00,320|SEQM,SVMI,22:58-05:00,03:08-04:00,360|SVMI,SKBO,06:33-04:00,08:56-05:00,340
OMDB,SKBO,23:10+04:00,16:58-05:00,2,false|OMDB,SEQM,23:10+04:00,09:06-05:00,320|SEQM,SVMI,22:58-05:00,03:08-04:00,360|SVMI,SKBO,14:35-04:00,16:58-05:00,340
OMDB,SKBO,23:10+04:00,01:32-05:00,2,false|OMDB,SEQM,23:10+04:00,09:06-05:00,320|SEQM,SBBR,10:54-05:00,18:40-03:00,300|SBBR,SKBO,21:57-03:00,01:32-05:00,360
OMDB,SKBO,23:10+04:00,07:37-05:00,2,false|OMDB,SEQM,23:10+04:00,09:06-05:00,320|SEQM,SBBR,18:26-05:00,02:12-03:00,320|SBBR,SKBO,03:02-03:00,07:37-05:00,320
OMDB,SKBO,23:10+04:00,19:28-05:00,2,false|OMDB,SEQM,23:10+04:00,09:06-05:00,320|SEQM,SBBR,18:26-05:00,02:12-03:00,320|SBBR,SKBO,15:53-03:00,19:28-05:00,360
OMDB,SKBO,23:10+04:00,22:25-05:00,1,false|OMDB,SEQM,23:10+04:00,09:06-05:00,320|SEQM,SPIM,11:17-05:00,14:58-05:00,320|SPIM,SKBO,18:09-05:00,22:25-05:00,340
OMDB,SKBO,23:10+04:00,23:04-05:00,2,false|OMDB,SEQM,23:10+04:00,09:06-05:00,320|SEQM,SLLP,20:09-05:00,01:46-04:00,320|SLLP,SKBO,20:09-04:00,23:04-05:00,300
OMDB,SKBO,23:10+04:00,11:08-05:00,2,false|OMDB,SEQM,23:10+04:00,09:06-05:00,320|SEQM,SCEL,17:49-05:00,01:33-03:00,320|SCEL,SKBO,06:56-03:00,11:08-05:00,300
OMDB,SKBO,23:10+04:00,15:55-05:00,2,false|OMDB,SEQM,23:10+04:00,09:06-05:00,320|SEQM,SCEL,17:49-05:00,01:33-03:00,320|SCEL,SKBO,10:43-03:00,15:55-05:00,340
OMDB,SKBO,23:10+04:00,22:53-05:00,2,false|OMDB,SEQM,23:10+04:00,09:06-05:00,320|SEQM,SCEL,17:49-05:00,01:33-03:00,320|SCEL,SKBO,17:41-03:00,22:53-05:00,360
OMDB,SKBO,23:10+04:00,02:40-05:00,2,false|OMDB,SEQM,23:10+04:00,09:06-05:00,320|SEQM,SABE,11:54-05:00,20:19-03:00,300|SABE,SKBO,21:57-03:00,02:40-05:00,340
OMDB,SKBO,23:10+04:00,14:27-05:00,2,false|OMDB,SEQM,23:10+04:00,09:06-05:00,320|SEQM,SABE,18:08-05:00,03:33-03:00,320|SABE,SKBO,09:44-03:00,14:27-05:00,340
OMDB,SKBO,23:10+04:00,02:43-05:00,2,false|OMDB,SEQM,23:10+04:00,09:06-05:00,320|SEQM,SGAS,10:06-05:00,17:36-04:00,300|SGAS,SKBO,21:03-04:00,02:43-05:00,320
OMDB,SKBO,23:10+04:00,17:51-05:00,2,false|OMDB,SEQM,23:10+04:00,09:06-05:00,320|SEQM,SUAA,18:02-05:00,03:35-03:00,360|SUAA,SKBO,12:02-03:00,17:51-05:00,340
OMDB,SKBO,23:10+04:00,20:00-05:00,2,false|OMDB,SEQM,23:10+04:00,09:06-05:00,320|SEQM,EDDI,11:07-05:00,08:47+02:00,360|EDDI,SKBO,14:07+02:00,20:00-05:00,300
OMDB,SKBO,23:10+04:00,20:00-05:00,2,false|OMDB,SEQM,23:10+04:00,09:06-05:00,320|SEQM,EDDI,13:04-05:00,10:44+02:00,320|EDDI,SKBO,14:07+02:00,20:00-05:00,300
OMDB,SKBO,08:34+04:00,23:15-05:00,0,false|OMDB,SVMI,08:34+04:00,17:20-04:00,320|SVMI,SKBO,21:52-04:00,23:15-05:00,360
OMDB,SKBO,08:34+04:00,19:28-05:00,1,false|OMDB,SVMI,08:34+04:00,17:20-04:00,320|SVMI,SBBR,20:41-04:00,03:03-03:00,300|SBBR,SKBO,15:53-03:00,19:28-05:00,360
OMDB,SKBO,08:34+04:00,01:32-05:00,2,false|OMDB,SVMI,08:34+04:00,17:20-04:00,320|SVMI,SBBR,20:41-04:00,03:03-03:00,300|SBBR,SKBO,21:57-03:00,01:32-05:00,360
OMDB,SKBO,08:34+04:00,10:27-05:00,1,false|OMDB,SVMI,08:34+04:00,17:20-04:00,320|SVMI,SGAS,22:21-04:00,05:23-04:00,320|SGAS,SKBO,05:47-04:00,10:27-05:00,340
OMDB,SKBO,08:34+04:00,13:50-05:00,1,false|OMDB,SVMI,08:34+04:00,17:20-04:00,320|SVMI,SGAS,22:21-04:00,05:23-04:00,320|SGAS,SKBO,08:10-04:00,13:50-05:00,300
OMDB,SKBO,08:34+04:00,20:51-05:00,1,false|OMDB,SVMI,08:34+04:00,17:20-04:00,320|SVMI,SGAS,22:21-04:00,05:23-04:00,320|SGAS,SKBO,15:11-04:00,20:51-05:00,320
OMDB,SKBO,08:34+04:00,02:43-05:00,2,false|OMDB,SVMI,08:34+04:00,17:20-04:00,320|SVMI,SGAS,22:21-04:00,05:23-04:00,320|SGAS,SKBO,21:03-04:00,02:43-05:00,320
OMDB,SKBO,08:34+04:00,17:51-05:00,1,false|OMDB,SVMI,08:34+04:00,17:20-04:00,320|SVMI,SUAA,19:49-04:00,04:06-03:00,300|SUAA,SKBO,12:02-03:00,17:51-05:00,340
OMDB,SKBO,08:34+04:00,01:22-05:00,2,false|OMDB,SVMI,08:34+04:00,17:20-04:00,320|SVMI,LATI,18:33-04:00,13:42+02:00,340|LATI,SKBO,18:50+02:00,01:22-05:00,300
OMDB,SKBO,08:34+04:00,20:00-05:00,1,false|OMDB,SVMI,08:34+04:00,17:20-04:00,320|SVMI,EDDI,17:38-04:00,11:10+02:00,340|EDDI,SKBO,14:07+02:00,20:00-05:00,300
OMDB,SKBO,08:34+04:00,01:40-05:00,2,false|OMDB,SVMI,08:34+04:00,17:20-04:00,320|SVMI,EDDI,17:38-04:00,11:10+02:00,340|EDDI,SKBO,19:47+02:00,01:40-05:00,340
OMDB,SKBO,08:34+04:00,02:06-05:00,2,false|OMDB,SVMI,08:34+04:00,17:20-04:00,320|SVMI,LOWW,21:54-04:00,15:42+02:00,360|LOWW,SKBO,19:56+02:00,02:06-05:00,360
OMDB,SKBO,08:34+04:00,21:48-05:00,1,false|OMDB,SVMI,08:34+04:00,17:20-04:00,320|SVMI,EBCI,20:57-04:00,13:40+02:00,360|EBCI,SKBO,15:43+02:00,21:48-05:00,340
OMDB,SKBO,18:01+04:00,08:56-05:00,1,false|OMDB,SVMI,18:01+04:00,03:47-04:00,320|SVMI,SKBO,06:33-04:00,08:56-05:00,340
OMDB,SKBO,18:01+04:00,16:58-05:00,1,false|OMDB,SVMI,18:01+04:00,03:47-04:00,320|SVMI,SKBO,14:35-04:00,16:58-05:00,340
OMDB,SKBO,18:01+04:00,23:15-05:00,1,false|OMDB,SVMI,18:01+04:00,03:47-04:00,320|SVMI,SKBO,21:52-04:00,23:15-05:00,360
OMDB,SKBO,18:01+04:00,21:42-05:00,1,false|OMDB,SVMI,18:01+04:00,03:47-04:00,320|SVMI,SEQM,14:49-04:00,17:59-05:00,300|SEQM,SKBO,19:55-05:00,21:42-05:00,360
OMDB,SKBO,18:01+04:00,22:25-05:00,1,false|OMDB,SVMI,18:01+04:00,03:47-04:00,320|SVMI,SPIM,05:03-04:00,09:29-05:00,300|SPIM,SKBO,18:09-05:00,22:25-05:00,340
OMDB,SKBO,18:01+04:00,22:25-05:00,1,false|OMDB,SVMI,18:01+04:00,03:47-04:00,320|SVMI,SPIM,06:23-04:00,10:49-05:00,320|SPIM,SKBO,18:09-05:00,22:25-05:00,340
OMDB,SKBO,18:01+04:00,22:25-05:00,1,false|OMDB,SVMI,18:01+04:00,03:47-04:00,320|SVMI,SPIM,13:09-04:00,17:35-05:00,360|SPIM,SKBO,18:09-05:00,22:25-05:00,340
OMDB,SKBO,18:01+04:00,02:40-05:00,2,false|OMDB,SVMI,18:01+04:00,03:47-04:00,320|SVMI,SABE,09:46-04:00,18:00-03:00,320|SABE,SKBO,21:57-03:00,02:40-05:00,340
OMDB,SKBO,18:01+04:00,20:51-05:00,1,false|OMDB,SVMI,18:01+04:00,03:47-04:00,320|SVMI,SGAS,08:58-04:00,15:00-04:00,360|SGAS,SKBO,15:11-04:00,20:51-05:00,320
OMDB,SKBO,18:01+04:00,02:43-05:00,2,false|OMDB,SVMI,18:01+04:00,03:47-04:00,320|SVMI,SGAS,08:58-04:00,15:00-04:00,360|SGAS,SKBO,21:03-04:00,02:43-05:00,320
OMDB,SKBO,18:01+04:00,10:27-05:00,2,false|OMDB,SVMI,18:01+04:00,03:47-04:00,320|SVMI,SGAS,22:21-04:00,05:23-04:00,320|SGAS,SKBO,05:47-04:00,10:27-05:00,340
OMDB,SKBO,18:01+04:00,13:50-05:00,2,false|OMDB,SVMI,18:01+04:00,03:47-04:00,320|SVMI,SGAS,22:21-04:00,05:23-04:00,320|SGAS,SKBO,08:10-04:00,13:50-05:00,300
OMDB,SKBO,18:01+04:00,17:51-05:00,2,false|OMDB,SVMI,18:01+04:00,03:47-04:00,320|SVMI,SUAA,19:49-04:00,04:06-03:00,300|SUAA,SKBO,12:02-03:00,17:51-05:00,340
OMDB,SKBO,18:01+04:00,15:49-05:00,2,false|OMDB,SVMI,18:01+04:00,03:47-04:00,320|SVMI,LATI,11:29-04:00,06:38+02:00,320|LATI,SKBO,08:17+02:00,15:49-05:00,360
OMDB,SKBO,18:01+04:00,12:46-05:00,2,false|OMDB,SVMI,18:01+04:00,03:47-04:00,320|SVMI,EDDI,11:45-04:00,05:17+02:00,300|EDDI,SKBO,06:53+02:00,12:46-05:00,340
OMDB,SKBO,18:01+04:00,11:54-05:00,2,false|OMDB,SVMI,18:01+04:00,03:47-04:00,320|SVMI,EBCI,09:37-04:00,02:20+02:00,300|EBCI,SKBO,05:49+02:00,11:54-05:00,360
OMDB,SKBO,05:23+04:00,19:28-05:00,0,false|OMDB,SBBR,05:23+04:00,14:20-03:00,300|SBBR,SKBO,15:53-03:00,19:28-05:00,360
OMDB,SKBO,05:23+04:00,01:32-05:00,1,false|OMDB,SBBR,05:23+04:00,14:20-03:00,300|SBBR,SKBO,21:57-03:00,01:32-05:00,360
OMDB,SKBO,05:23+04:00,11:08-05:00,1,false|OMDB,SBBR,05:23+04:00,14:20-03:00,300|SBBR,SCEL,22:16-03:00,03:07-03:00,340|SCEL,SKBO,06:56-03:00,11:08-05:00,300
OMDB,SKBO,05:23+04:00,15:55-05:00,1,false|OMDB,SBBR,05:23+04:00,14:20-03:00,300|SBBR,SCEL,22:16-03:00,03:07-03:00,340|SCEL,SKBO,10:43-03:00,15:55-05:00,340
OMDB,SKBO,05:23+04:00,22:53-05:00,1,false|OMDB,SBBR,05:23+04:00,14:20-03:00,300|SBBR,SCEL,22:16-03:00,03:07-03:00,340|SCEL,SKBO,17:41-03:00,22:53-05:00,360
OMDB,SKBO,05:23+04:00,07:40-05:00,1,false|OMDB,SBBR,05:23+04:00,14:20-03:00,300|SBBR,SABE,20:43-03:00,00:42-03:00,320|SABE,SKBO,02:57-03:00,07:40-05:00,320
OMDB,SKBO,05:23+04:00,14:27-05:00,1,false|OMDB,SBBR,05:23+04:00,14:20-03:00,300|SBBR,SABE,20:43-03:00,00:42-03:00,320|SABE,SKBO,09:44-03:00,14:27-05:00,340
OMDB,SKBO,05:23+04:00,02:40-05:00,2,false|OMDB,SBBR,05:23+04:00,14:20-03:00,300|SBBR,SABE,20:43-03:00,00:42-03:00,320|SABE,SKBO,21:57-03:00,02:40-05:00,340
OMDB,SKBO,05:23+04:00,02:43-05:00,1,false|OMDB,SBBR,05:23+04:00,14:20-03:00,300|SBBR,SGAS,17:21-03:00,19:16-04:00,320|SGAS,SKBO,21:03-04:00,02:43-05:00,320
OMDB,SKBO,05:23+04:00,10:27-05:00,1,false|OMDB,SBBR,05:23+04:00,14:20-03:00,300|SBBR,SGAS,22:32-03:00,00:27-04:00,320|SGAS,SKBO,05:47-04:00,10:27-05:00,340
OMDB,SKBO,05:23+04:00,13:50-05:00,1,false|OMDB,SBBR,05:23+04:00,14:20-03:00,300|SBBR,SGAS,22:32-03:00,00:27-04:00,320|SGAS,SKBO,08:10-04:00,13:50-05:00,300
OMDB,SKBO,05:23+04:00,20:51-05:00,1,false|OMDB,SBBR,05:23+04:00,14:20-03:00,300|SBBR,SGAS,22:32-03:00,00:27-04:00,320|SGAS,SKBO,15:11-04:00,20:51-05:00,320
OMDB,SKBO,05:23+04:00,02:43-05:00,2,false|OMDB,SBBR,05:23+04:00,14:20-03:00,300|SBBR,SGAS,22:32-03:00,00:27-04:00,320|SGAS,SKBO,21:03-04:00,02:43-05:00,320
OMDB,SKBO,05:23+04:00,01:22-05:00,2,false|OMDB,SBBR,05:23+04:00,14:20-03:00,300|SBBR,LATI,18:21-03:00,12:55+02:00,340|LATI,SKBO,18:50+02:00,01:22-05:00,300
OMDB,SKBO,05:23+04:00,20:00-05:00,1,false|OMDB,SBBR,05:23+04:00,14:20-03:00,300|SBBR,EDDI,16:10-03:00,10:00+02:00,300|EDDI,SKBO,14:07+02:00,20:00-05:00,300
OMDB,SKBO,05:23+04:00,01:40-05:00,2,false|OMDB,SBBR,05:23+04:00,14:20-03:00,300|SBBR,EDDI,16:10-03:00,10:00+02:00,300|EDDI,SKBO,19:47+02:00,01:40-05:00,340
OMDB,SKBO,05:23+04:00,02:06-05:00,2,false|OMDB,SBBR,05:23+04:00,14:20-03:00,300|SBBR,LOWW,16:12-03:00,10:58+02:00,360|LOWW,SKBO,19:56+02:00,02:06-05:00,360
OMDB,SKBO,05:23+04:00,21:48-05:00,1,false|OMDB,SBBR,05:23+04:00,14:20-03:00,300|SBBR,EBCI,17:11-03:00,11:13+02:00,340|EBCI,SKBO,15:43+02:00,21:48-05:00,340
OMDB,SKBO,11:53+04:00,01:32-05:00,1,false|OMDB,SBBR,11:53+04:00,20:50-03:00,340|SBBR,SKBO,21:57-03:00,01:32-05:00,360
OMDB,SKBO,11:53+04:00,11:08-05:00,1,false|OMDB,SBBR,11:53+04:00,20:50-03:00,340|SBBR,SCEL,22:16-03:00,03:07-03:00,340|SCEL,SKBO,06:56-03:00,11:08-05:00,300
OMDB,SKBO,11:53+04:00,15:55-05:00,1,false|OMDB,SBBR,11:53+04:00,20:50-03:00,340|SBBR,SCEL,22:16-03:00,03:07-03:00,340|SCEL,SKBO,10:43-03:00,15:55-05:00,340
OMDB,SKBO,11:53+04:00,22:53-05:00,1,false|OMDB,SBBR,11:53+04:00,20:50-03:00,340|SBBR,SCEL,22:16-03:00,03:07-03:00,340|SCEL,SKBO,17:41-03:00,22:53-05:00,360
OMDB,SKBO,11:53+04:00,10:27-05:00,1,false|OMDB,SBBR,11:53+04:00,20:50-03:00,340|SBBR,SGAS,22:32-03:00,00:27-04:00,320|SGAS,SKBO,05:47-04:00,10:27-05:00,340
OMDB,SKBO,11:53+04:00,13:50-05:00,1,false|OMDB,SBBR,11:53+04:00,20:50-03:00,340|SBBR,SGAS,22:32-03:00,00:27-04:00,320|SGAS,SKBO,08:10-04:00,13:50-05:00,300
OMDB,SKBO,11:53+04:00,20:51-05:00,1,false|OMDB,SBBR,11:53+04:00,20:50-03:00,340|SBBR,SGAS,22:32-03:00,00:27-04:00,320|SGAS,SKBO,15:11-04:00,20:51-05:00,320
OMDB,SKBO,11:53+04:00,02:43-05:00,2,false|OMDB,SBBR,11:53+04:00,20:50-03:00,340|SBBR,SGAS,22:32-03:00,00:27-04:00,320|SGAS,SKBO,21:03-04:00,02:43-05:00,320
OMDB,SKBO,16:51+04:00,07:37-05:00,1,false|OMDB,SBBR,16:51+04:00,01:48-03:00,320|SBBR,SKBO,03:02-03:00,07:37-05:00,320
OMDB,SKBO,16:51+04:00,19:28-05:00,1,false|OMDB,SBBR,16:51+04:00,01:48-03:00,320|SBBR,SKBO,15:53-03:00,19:28-05:00,360
OMDB,SKBO,16:51+04:00,01:32-05:00,2,false|OMDB,SBBR,16:51+04:00,01:48-03:00,320|SBBR,SKBO,21:57-03:00,01:32-05:00,360
OMDB,SKBO,16:51+04:00,21:42-05:00,1,false|OMDB,SBBR,16:51+04:00,01:48-03:00,320|SBBR,SEQM,07:28-03:00,11:14-05:00,360|SEQM,SKBO,19:55-05:00,21:42-05:00,360
OMDB,SKBO,16:51+04:00,21:42-05:00,1,false|OMDB,SBBR,16:51+04:00,01:48-03:00,320|SBBR,SEQM,08:15-03:00,12:01-05:00,340|SEQM,SKBO,19:55-05:00,21:42-05:00,360
OMDB,SKBO,16:51+04:00,16:58-05:00,1,false|OMDB,SBBR,16:51+04:00,01:48-03:00,320|SBBR,SVMI,06:14-03:00,11:36-04:00,340|SVMI,SKBO,14:35-04:00,16:58-05:00,340
OMDB,SKBO,16:51+04:00,23:15-05:00,1,false|OMDB,SBBR,16:51+04:00,01:48-03:00,320|SBBR,SVMI,06:14-03:00,11:36-04:00,340|SVMI,SKBO,21:52-04:00,23:15-05:00,360
OMDB,SKBO,16:51+04:00,23:04-05:00,1,false|OMDB,SBBR,16:51+04:00,01:48-03:00,320|SBBR,SLLP,02:44-03:00,05:34-04:00,340|SLLP,SKBO,20:09-04:00,23:04-05:00,300
OMDB,SKBO,16:51+04:00,23:04-05:00,1,false|OMDB,SBBR,16:51+04:00,01:48-03:00,320|SBBR,SLLP,14:06-03:00,17:56-04:00,300|SLLP,SKBO,20:09-04:00,23:04-05:00,300
OMDB,SKBO,16:51+04:00,15:55-05:00,1,false|OMDB,SBBR,16:51+04:00,01:48-03:00,320|SBBR,SCEL,03:36-03:00,08:27-03:00,360|SCEL,SKBO,10:43-03:00,15:55-05:00,340
