UMMS,SKBO,03:40+03:00,21:42-05:00,0,false|148,UMMS,SEQM,03:40+03:00,10:35-05:00,340|6,SEQM,SKBO,19:55-05:00,21:42-05:00,360
UMMS,SKBO,02:34+03:00,11:54-05:00,1,false|300,UMMS,SVMI,02:34+03:00,08:22-04:00,340|295,SVMI,EBCI,09:37-04:00,02:20+02:00,300|68,EBCI,SKBO,05:49+02:00,11:54-05:00,360
UMMS,SKBO,02:34+03:00,21:48-05:00,1,false|300,UMMS,SVMI,02:34+03:00,08:22-04:00,340|295,SVMI,EBCI,09:37-04:00,02:20+02:00,300|70,EBCI,SKBO,15:43+02:00,21:48-05:00,340
UMMS,SKBO,02:34+03:00,21:48-05:00,1,false|300,UMMS,SVMI,02:34+03:00,08:22-04:00,340|297,SVMI,EBCI,20:57-04:00,13:40+02:00,360|70,EBCI,SKBO,15:43+02:00,21:48-05:00,340
UMMS,SKBO,12:55+03:00,23:15-05:00,0,false|302,UMMS,SVMI,12:55+03:00,18:43-04:00,320|12,SVMI,SKBO,21:52-04:00,23:15-05:00,360
UMMS,SKBO,12:55+03:00,19:28-05:00,1,false|302,UMMS,SVMI,12:55+03:00,18:43-04:00,320|249,SVMI,SBBR,20:41-04:00,03:03-03:00,300|16,SBBR,SKBO,15:53-03:00,19:28-05:00,360
UMMS,SKBO,12:55+03:00,01:32-05:00,2,false|302,UMMS,SVMI,12:55+03:00,18:43-04:00,320|249,SVMI,SBBR,20:41-04:00,03:03-03:00,300|18,SBBR,SKBO,21:57-03:00,01:32-05:00,360
UMMS,SKBO,12:55+03:00,10:27-05:00,1,false|302,UMMS,SVMI,12:55+03:00,18:43-04:00,320|271,SVMI,SGAS,22:21-04:00,05:23-04:00,320|40,SGAS,SKBO,05:47-04:00,10:27-05:00,340
UMMS,SKBO,12:55+03:00,13:50-05:00,1,false|302,UMMS,SVMI,12:55+03:00,18:43-04:00,320|271,SVMI,SGAS,22:21-04:00,05:23-04:00,320|42,SGAS,SKBO,08:10-04:00,13:50-05:00,300
UMMS,SKBO,12:55+03:00,20:51-05:00,1,false|302,UMMS,SVMI,12:55+03:00,18:43-04:00,320|271,SVMI,SGAS,22:21-04:00,05:23-04:00,320|44,SGAS,SKBO,15:11-04:00,20:51-05:00,320
UMMS,SKBO,12:55+03:00,02:43-05:00,2,false|302,UMMS,SVMI,12:55+03:00,18:43-04:00,320|271,SVMI,SGAS,22:21-04:00,05:23-04:00,320|46,SGAS,SKBO,21:03-04:00,02:43-05:00,320
UMMS,SKBO,12:55+03:00,17:51-05:00,1,false|302,UMMS,SVMI,12:55+03:00,18:43-04:00,320|279,SVMI,SUAA,19:49-04:00,04:06-03:00,300|48,SUAA,SKBO,12:02-03:00,17:51-05:00,340
UMMS,SKBO,12:55+03:00,02:06-05:00,2,false|302,UMMS,SVMI,12:55+03:00,18:43-04:00,320|293,SVMI,LOWW,21:54-04:00,15:42+02:00,360|66,LOWW,SKBO,19:56+02:00,02:06-05:00,360
UMMS,SKBO,12:55+03:00,21:48-05:00,1,false|302,UMMS,SVMI,12:55+03:00,18:43-04:00,320|297,SVMI,EBCI,20:57-04:00,13:40+02:00,360|70,EBCI,SKBO,15:43+02:00,21:48-05:00,340
UMMS,SKBO,22:38+03:00,08:56-05:00,1,false|304,UMMS,SVMI,22:38+03:00,04:26-04:00,300|8,SVMI,SKBO,06:33-04:00,08:56-05:00,340
UMMS,SKBO,22:38+03:00,16:58-05:00,1,false|304,UMMS,SVMI,22:38+03:00,04:26-04:00,300|10,SVMI,SKBO,14:35-04:00,16:58-05:00,340
UMMS,SKBO,22:38+03:00,23:15-05:00,1,false|304,UMMS,SVMI,22:38+03:00,04:26-04:00,300|12,SVMI,SKBO,21:52-04:00,23:15-05:00,360
UMMS,SKBO,22:38+03:00,21:42-05:00,1,false|304,UMMS,SVMI,22:38+03:00,04:26-04:00,300|74,SVMI,SEQM,14:49-04:00,17:59-05:00,300|6,SEQM,SKBO,19:55-05:00,21:42-05:00,360
UMMS,SKBO,22:38+03:00,19:28-05:00,2,false|304,UMMS,SVMI,22:38+03:00,04:26-04:00,300|249,SVMI,SBBR,20:41-04:00,03:03-03:00,300|16,SBBR,SKBO,15:53-03:00,19:28-05:00,360
UMMS,SKBO,22:38+03:00,22:25-05:00,1,false|304,UMMS,SVMI,22:38+03:00,04:26-04:00,300|251,SVMI,SPIM,05:03-04:00,09:29-05:00,300|24,SPIM,SKBO,18:09-05:00,22:25-05:00,340
UMMS,SKBO,22:38+03:00,22:25-05:00,1,false|304,UMMS,SVMI,22:38+03:00,04:26-04:00,300|253,SVMI,SPIM,06:23-04:00,10:49-05:00,320|24,SPIM,SKBO,18:09-05:00,22:25-05:00,340
UMMS,SKBO,22:38+03:00,22:25-05:00,1,false|304,UMMS,SVMI,22:38+03:00,04:26-04:00,300|255,SVMI,SPIM,13:09-04:00,17:35-05:00,360|24,SPIM,SKBO,18:09-05:00,22:25-05:00,340
UMMS,SKBO,22:38+03:00,02:40-05:00,2,false|304,UMMS,SVMI,22:38+03:00,04:26-04:00,300|265,SVMI,SABE,09:46-04:00,18:00-03:00,320|38,SABE,SKBO,21:57-03:00,02:40-05:00,340
UMMS,SKBO,22:38+03:00,20:51-05:00,1,false|304,UMMS,SVMI,22:38+03:00,04:26-04:00,300|269,SVMI,SGAS,08:58-04:00,15:00-04:00,360|44,SGAS,SKBO,15:11-04:00,20:51-05:00,320
UMMS,SKBO,22:38+03:00,02:43-05:00,2,false|304,UMMS,SVMI,22:38+03:00,04:26-04:00,300|269,SVMI,SGAS,08:58-04:00,15:00-04:00,360|46,SGAS,SKBO,21:03-04:00,02:43-05:00,320
UMMS,SKBO,22:38+03:00,10:27-05:00,2,false|304,UMMS,SVMI,22:38+03:00,04:26-04:00,300|271,SVMI,SGAS,22:21-04:00,05:23-04:00,320|40,SGAS,SKBO,05:47-04:00,10:27-05:00,340
UMMS,SKBO,22:38+03:00,13:50-05:00,2,false|304,UMMS,SVMI,22:38+03:00,04:26-04:00,300|271,SVMI,SGAS,22:21-04:00,05:23-04:00,320|42,SGAS,SKBO,08:10-04:00,13:50-05:00,300
UMMS,SKBO,22:38+03:00,20:51-05:00,2,false|304,UMMS,SVMI,22:38+03:00,04:26-04:00,300|271,SVMI,SGAS,22:21-04:00,05:23-04:00,320|44,SGAS,SKBO,15:11-04:00,20:51-05:00,320
UMMS,SKBO,22:38+03:00,17:51-05:00,2,false|304,UMMS,SVMI,22:38+03:00,04:26-04:00,300|279,SVMI,SUAA,19:49-04:00,04:06-03:00,300|48,SUAA,SKBO,12:02-03:00,17:51-05:00,340
UMMS,SKBO,22:38+03:00,15:49-05:00,2,false|304,UMMS,SVMI,22:38+03:00,04:26-04:00,300|283,SVMI,LATI,11:29-04:00,06:38+02:00,320|52,LATI,SKBO,08:17+02:00,15:49-05:00,360
UMMS,SKBO,22:38+03:00,12:46-05:00,2,false|304,UMMS,SVMI,22:38+03:00,04:26-04:00,300|289,SVMI,EDDI,11:45-04:00,05:17+02:00,300|58,EDDI,SKBO,06:53+02:00,12:46-05:00,340
UMMS,SKBO,22:38+03:00,20:00-05:00,2,false|304,UMMS,SVMI,22:38+03:00,04:26-04:00,300|289,SVMI,EDDI,11:45-04:00,05:17+02:00,300|60,EDDI,SKBO,14:07+02:00,20:00-05:00,300
UMMS,SKBO,22:38+03:00,20:00-05:00,2,false|304,UMMS,SVMI,22:38+03:00,04:26-04:00,300|291,SVMI,EDDI,17:38-04:00,11:10+02:00,340|60,EDDI,SKBO,14:07+02:00,20:00-05:00,300
UMMS,SKBO,22:38+03:00,11:54-05:00,2,false|304,UMMS,SVMI,22:38+03:00,04:26-04:00,300|295,SVMI,EBCI,09:37-04:00,02:20+02:00,300|68,EBCI,SKBO,05:49+02:00,11:54-05:00,360
UMMS,SKBO,22:38+03:00,21:48-05:00,2,false|304,UMMS,SVMI,22:38+03:00,04:26-04:00,300|295,SVMI,EBCI,09:37-04:00,02:20+02:00,300|70,EBCI,SKBO,15:43+02:00,21:48-05:00,340
UMMS,SKBO,22:38+03:00,21:48-05:00,2,false|304,UMMS,SVMI,22:38+03:00,04:26-04:00,300|297,SVMI,EBCI,20:57-04:00,13:40+02:00,360|70,EBCI,SKBO,15:43+02:00,21:48-05:00,340
UMMS,SKBO,07:24+03:00,01:32-05:00,1,false|454,UMMS,SBBR,07:24+03:00,16:26-03:00,360|18,SBBR,SKBO,21:57-03:00,01:32-05:00,360
UMMS,SKBO,07:24+03:00,11:08-05:00,1,false|454,UMMS,SBBR,07:24+03:00,16:26-03:00,360|403,SBBR,SCEL,22:16-03:00,03:07-03:00,340|28,SCEL,SKBO,06:56-03:00,11:08-05:00,300
UMMS,SKBO,07:24+03:00,15:55-05:00,1,false|454,UMMS,SBBR,07:24+03:00,16:26-03:00,360|403,SBBR,SCEL,22:16-03:00,03:07-03:00,340|30,SCEL,SKBO,10:43-03:00,15:55-05:00,340
UMMS,SKBO,07:24+03:00,22:53-05:00,1,false|454,UMMS,SBBR,07:24+03:00,16:26-03:00,360|403,SBBR,SCEL,22:16-03:00,03:07-03:00,340|32,SCEL,SKBO,17:41-03:00,22:53-05:00,360
UMMS,SKBO,07:24+03:00,07:40-05:00,1,false|454,UMMS,SBBR,07:24+03:00,16:26-03:00,360|411,SBBR,SABE,20:43-03:00,00:42-03:00,320|34,SABE,SKBO,02:57-03:00,07:40-05:00,320
UMMS,SKBO,07:24+03:00,14:27-05:00,1,false|454,UMMS,SBBR,07:24+03:00,16:26-03:00,360|411,SBBR,SABE,20:43-03:00,00:42-03:00,320|36,SABE,SKBO,09:44-03:00,14:27-05:00,340
UMMS,SKBO,07:24+03:00,02:40-05:00,2,false|454,UMMS,SBBR,07:24+03:00,16:26-03:00,360|411,SBBR,SABE,20:43-03:00,00:42-03:00,320|38,SABE,SKBO,21:57-03:00,02:40-05:00,340
UMMS,SKBO,07:24+03:00,02:43-05:00,1,false|454,UMMS,SBBR,07:24+03:00,16:26-03:00,360|417,SBBR,SGAS,17:21-03:00,19:16-04:00,320|46,SGAS,SKBO,21:03-04:00,02:43-05:00,320
UMMS,SKBO,07:24+03:00,10:27-05:00,1,false|454,UMMS,SBBR,07:24+03:00,16:26-03:00,360|419,SBBR,SGAS,22:32-03:00,00:27-04:00,320|40,SGAS,SKBO,05:47-04:00,10:27-05:00,340
UMMS,SKBO,07:24+03:00,13:50-05:00,1,false|454,UMMS,SBBR,07:24+03:00,16:26-03:00,360|419,SBBR,SGAS,22:32-03:00,00:27-04:00,320|42,SGAS,SKBO,08:10-04:00,13:50-05:00,300
UMMS,SKBO,07:24+03:00,20:51-05:00,1,false|454,UMMS,SBBR,07:24+03:00,16:26-03:00,360|419,SBBR,SGAS,22:32-03:00,00:27-04:00,320|44,SGAS,SKBO,15:11-04:00,20:51-05:00,320
