LDZA,SKBO,06:29+02:00,21:42-05:00,0,false|164,LDZA,SEQM,06:29+02:00,13:28-05:00,320|6,SEQM,SKBO,19:55-05:00,21:42-05:00,360
LDZA,SKBO,06:29+02:00,14:27-05:00,1,false|164,LDZA,SEQM,06:29+02:00,13:28-05:00,320|109,SEQM,SABE,18:08-05:00,03:33-03:00,320|36,SABE,SKBO,09:44-03:00,14:27-05:00,340
LDZA,SKBO,06:29+02:00,02:40-05:00,2,false|164,LDZA,SEQM,06:29+02:00,13:28-05:00,320|109,SEQM,SABE,18:08-05:00,03:33-03:00,320|38,SABE,SKBO,21:57-03:00,02:40-05:00,340
LDZA,SKBO,06:29+02:00,17:51-05:00,1,false|164,LDZA,SEQM,06:29+02:00,13:28-05:00,320|119,SEQM,SUAA,18:02-05:00,03:35-03:00,360|48,SUAA,SKBO,12:02-03:00,17:51-05:00,340
LDZA,SKBO,06:29+02:00,01:40-05:00,2,false|164,LDZA,SEQM,06:29+02:00,13:28-05:00,320|133,SEQM,EDDI,19:12-05:00,16:52+02:00,320|62,EDDI,SKBO,19:47+02:00,01:40-05:00,340
LDZA,SKBO,06:29+02:00,02:06-05:00,2,false|164,LDZA,SEQM,06:29+02:00,13:28-05:00,320|139,SEQM,LOWW,17:31-05:00,14:28+02:00,360|66,LOWW,SKBO,19:56+02:00,02:06-05:00,360
LDZA,SKBO,06:29+02:00,02:06-05:00,2,false|164,LDZA,SEQM,06:29+02:00,13:28-05:00,320|141,SEQM,LOWW,22:20-05:00,19:17+02:00,300|66,LOWW,SKBO,19:56+02:00,02:06-05:00,360
LDZA,SKBO,13:47+02:00,08:56-05:00,1,false|166,LDZA,SEQM,13:47+02:00,20:46-05:00,300|75,SEQM,SVMI,22:58-05:00,03:08-04:00,360|8,SVMI,SKBO,06:33-04:00,08:56-05:00,340
LDZA,SKBO,13:47+02:00,16:58-05:00,1,false|166,LDZA,SEQM,13:47+02:00,20:46-05:00,300|75,SEQM,SVMI,22:58-05:00,03:08-04:00,360|10,SVMI,SKBO,14:35-04:00,16:58-05:00,340
LDZA,SKBO,13:47+02:00,23:15-05:00,1,false|166,LDZA,SEQM,13:47+02:00,20:46-05:00,300|75,SEQM,SVMI,22:58-05:00,03:08-04:00,360|12,SVMI,SKBO,21:52-04:00,23:15-05:00,360
LDZA,SKBO,13:47+02:00,02:06-05:00,2,false|166,LDZA,SEQM,13:47+02:00,20:46-05:00,300|141,SEQM,LOWW,22:20-05:00,19:17+02:00,300|66,LOWW,SKBO,19:56+02:00,02:06-05:00,360
LDZA,SKBO,23:40+02:00,10:52-05:00,1,false|168,LDZA,SEQM,23:40+02:00,06:39-05:00,300|4,SEQM,SKBO,08:05-05:00,10:52-05:00,320
LDZA,SKBO,23:40+02:00,21:42-05:00,1,false|168,LDZA,SEQM,23:40+02:00,06:39-05:00,300|6,SEQM,SKBO,19:55-05:00,21:42-05:00,360
LDZA,SKBO,23:40+02:00,23:15-05:00,1,false|168,LDZA,SEQM,23:40+02:00,06:39-05:00,300|73,SEQM,SVMI,09:29-05:00,14:39-04:00,320|12,SVMI,SKBO,21:52-04:00,23:15-05:00,360
LDZA,SKBO,23:40+02:00,08:56-05:00,2,false|168,LDZA,SEQM,23:40+02:00,06:39-05:00,300|75,SEQM,SVMI,22:58-05:00,03:08-04:00,360|8,SVMI,SKBO,06:33-04:00,08:56-05:00,340
LDZA,SKBO,23:40+02:00,16:58-05:00,2,false|168,LDZA,SEQM,23:40+02:00,06:39-05:00,300|75,SEQM,SVMI,22:58-05:00,03:08-04:00,360|10,SVMI,SKBO,14:35-04:00,16:58-05:00,340
LDZA,SKBO,23:40+02:00,23:15-05:00,2,false|168,LDZA,SEQM,23:40+02:00,06:39-05:00,300|75,SEQM,SVMI,22:58-05:00,03:08-04:00,360|12,SVMI,SKBO,21:52-04:00,23:15-05:00,360
LDZA,SKBO,23:40+02:00,01:32-05:00,2,false|168,LDZA,SEQM,23:40+02:00,06:39-05:00,300|79,SEQM,SBBR,10:54-05:00,18:40-03:00,300|18,SBBR,SKBO,21:57-03:00,01:32-05:00,360
LDZA,SKBO,23:40+02:00,07:37-05:00,2,false|168,LDZA,SEQM,23:40+02:00,06:39-05:00,300|81,SEQM,SBBR,18:26-05:00,02:12-03:00,320|14,SBBR,SKBO,03:02-03:00,07:37-05:00,320
LDZA,SKBO,23:40+02:00,19:28-05:00,2,false|168,LDZA,SEQM,23:40+02:00,06:39-05:00,300|81,SEQM,SBBR,18:26-05:00,02:12-03:00,320|16,SBBR,SKBO,15:53-03:00,19:28-05:00,360
LDZA,SKBO,23:40+02:00,22:25-05:00,1,false|168,LDZA,SEQM,23:40+02:00,06:39-05:00,300|85,SEQM,SPIM,11:17-05:00,14:58-05:00,320|24,SPIM,SKBO,18:09-05:00,22:25-05:00,340
LDZA,SKBO,23:40+02:00,23:04-05:00,1,false|168,LDZA,SEQM,23:40+02:00,06:39-05:00,300|91,SEQM,SLLP,08:25-05:00,13:02-04:00,320|26,SLLP,SKBO,20:09-04:00,23:04-05:00,300
LDZA,SKBO,23:40+02:00,23:04-05:00,2,false|168,LDZA,SEQM,23:40+02:00,06:39-05:00,300|95,SEQM,SLLP,20:09-05:00,01:46-04:00,320|26,SLLP,SKBO,20:09-04:00,23:04-05:00,300
LDZA,SKBO,23:40+02:00,11:08-05:00,2,false|168,LDZA,SEQM,23:40+02:00,06:39-05:00,300|101,SEQM,SCEL,17:49-05:00,01:33-03:00,320|28,SCEL,SKBO,06:56-03:00,11:08-05:00,300
LDZA,SKBO,23:40+02:00,15:55-05:00,2,false|168,LDZA,SEQM,23:40+02:00,06:39-05:00,300|101,SEQM,SCEL,17:49-05:00,01:33-03:00,320|30,SCEL,SKBO,10:43-03:00,15:55-05:00,340
LDZA,SKBO,23:40+02:00,22:53-05:00,2,false|168,LDZA,SEQM,23:40+02:00,06:39-05:00,300|101,SEQM,SCEL,17:49-05:00,01:33-03:00,320|32,SCEL,SKBO,17:41-03:00,22:53-05:00,360
LDZA,SKBO,23:40+02:00,02:40-05:00,2,false|168,LDZA,SEQM,23:40+02:00,06:39-05:00,300|105,SEQM,SABE,11:54-05:00,20:19-03:00,300|38,SABE,SKBO,21:57-03:00,02:40-05:00,340
LDZA,SKBO,23:40+02:00,14:27-05:00,2,false|168,LDZA,SEQM,23:40+02:00,06:39-05:00,300|109,SEQM,SABE,18:08-05:00,03:33-03:00,320|36,SABE,SKBO,09:44-03:00,14:27-05:00,340
LDZA,SKBO,23:40+02:00,02:43-05:00,2,false|168,LDZA,SEQM,23:40+02:00,06:39-05:00,300|111,SEQM,SGAS,10:06-05:00,17:36-04:00,300|46,SGAS,SKBO,21:03-04:00,02:43-05:00,320
LDZA,SKBO,23:40+02:00,17:51-05:00,2,false|168,LDZA,SEQM,23:40+02:00,06:39-05:00,300|119,SEQM,SUAA,18:02-05:00,03:35-03:00,360|48,SUAA,SKBO,12:02-03:00,17:51-05:00,340
LDZA,SKBO,23:40+02:00,15:49-05:00,2,false|168,LDZA,SEQM,23:40+02:00,06:39-05:00,300|121,SEQM,LATI,07:02-05:00,05:21+02:00,340|52,LATI,SKBO,08:17+02:00,15:49-05:00,360
LDZA,SKBO,23:40+02:00,15:49-05:00,2,false|168,LDZA,SEQM,23:40+02:00,06:39-05:00,300|123,SEQM,LATI,08:54-05:00,06:13+02:00,360|52,LATI,SKBO,08:17+02:00,15:49-05:00,360
LDZA,SKBO,23:40+02:00,20:00-05:00,2,false|168,LDZA,SEQM,23:40+02:00,06:39-05:00,300|129,SEQM,EDDI,11:07-05:00,08:47+02:00,360|60,EDDI,SKBO,14:07+02:00,20:00-05:00,300
LDZA,SKBO,23:40+02:00,20:00-05:00,2,false|168,LDZA,SEQM,23:40+02:00,06:39-05:00,300|131,SEQM,EDDI,13:04-05:00,10:44+02:00,320|60,EDDI,SKBO,14:07+02:00,20:00-05:00,300
LDZA,SKBO,23:40+02:00,12:06-05:00,2,false|168,LDZA,SEQM,23:40+02:00,06:39-05:00,300|137,SEQM,LOWW,08:33-05:00,05:30+02:00,340|64,LOWW,SKBO,05:56+02:00,12:06-05:00,360
LDZA,SKBO,23:40+02:00,11:54-05:00,2,false|168,LDZA,SEQM,23:40+02:00,06:39-05:00,300|143,SEQM,EBCI,08:34-05:00,04:26+02:00,360|68,EBCI,SKBO,05:49+02:00,11:54-05:00,360
LDZA,SKBO,23:40+02:00,21:48-05:00,2,false|168,LDZA,SEQM,23:40+02:00,06:39-05:00,300|143,SEQM,EBCI,08:34-05:00,04:26+02:00,360|70,EBCI,SKBO,15:43+02:00,21:48-05:00,340
LDZA,SKBO,04:20+02:00,16:58-05:00,0,false|320,LDZA,SVMI,04:20+02:00,10:08-04:00,320|10,SVMI,SKBO,14:35-04:00,16:58-05:00,340
LDZA,SKBO,04:20+02:00,23:15-05:00,0,false|320,LDZA,SVMI,04:20+02:00,10:08-04:00,320|12,SVMI,SKBO,21:52-04:00,23:15-05:00,360
LDZA,SKBO,04:20+02:00,21:42-05:00,0,false|320,LDZA,SVMI,04:20+02:00,10:08-04:00,320|74,SVMI,SEQM,14:49-04:00,17:59-05:00,300|6,SEQM,SKBO,19:55-05:00,21:42-05:00,360
LDZA,SKBO,04:20+02:00,19:28-05:00,1,false|320,LDZA,SVMI,04:20+02:00,10:08-04:00,320|249,SVMI,SBBR,20:41-04:00,03:03-03:00,300|16,SBBR,SKBO,15:53-03:00,19:28-05:00,360
LDZA,SKBO,04:20+02:00,01:32-05:00,2,false|320,LDZA,SVMI,04:20+02:00,10:08-04:00,320|249,SVMI,SBBR,20:41-04:00,03:03-03:00,300|18,SBBR,SKBO,21:57-03:00,01:32-05:00,360
LDZA,SKBO,04:20+02:00,22:25-05:00,0,false|320,LDZA,SVMI,04:20+02:00,10:08-04:00,320|255,SVMI,SPIM,13:09-04:00,17:35-05:00,360|24,SPIM,SKBO,18:09-05:00,22:25-05:00,340
LDZA,SKBO,04:20+02:00,10:27-05:00,1,false|320,LDZA,SVMI,04:20+02:00,10:08-04:00,320|271,SVMI,SGAS,22:21-04:00,05:23-04:00,320|40,SGAS,SKBO,05:47-04:00,10:27-05:00,340
LDZA,SKBO,04:20+02:00,13:50-05:00,1,false|320,LDZA,SVMI,04:20+02:00,10:08-04:00,320|271,SVMI,SGAS,22:21-04:00,05:23-04:00,320|42,SGAS,SKBO,08:10-04:00,13:50-05:00,300
LDZA,SKBO,04:20+02:00,20:51-05:00,1,false|320,LDZA,SVMI,04:20+02:00,10:08-04:00,320|271,SVMI,SGAS,22:21-04:00,05:23-04:00,320|44,SGAS,SKBO,15:11-04:00,20:51-05:00,320
LDZA,SKBO,04:20+02:00,02:43-05:00,2,false|320,LDZA,SVMI,04:20+02:00,10:08-04:00,320|271,SVMI,SGAS,22:21-04:00,05:23-04:00,320|46,SGAS,SKBO,21:03-04:00,02:43-05:00,320
LDZA,SKBO,04:20+02:00,17:51-05:00,1,false|320,LDZA,SVMI,04:20+02:00,10:08-04:00,320|279,SVMI,SUAA,19:49-04:00,04:06-03:00,300|48,SUAA,SKBO,12:02-03:00,17:51-05:00,340
LDZA,SKBO,04:20+02:00,15:49-05:00,1,false|320,LDZA,SVMI,04:20+02:00,10:08-04:00,320|283,SVMI,LATI,11:29-04:00,06:38+02:00,320|52,LATI,SKBO,08:17+02:00,15:49-05:00,360
LDZA,SKBO,04:20+02:00,01:22-05:00,2,false|320,LDZA,SVMI,04:20+02:00,10:08-04:00,320|283,SVMI,LATI,11:29-04:00,06:38+02:00,320|54,LATI,SKBO,18:50+02:00,01:22-05:00,300
LDZA,SKBO,04:20+02:00,01:22-05:00,2,false|320,LDZA,SVMI,04:20+02:00,10:08-04:00,320|285,SVMI,LATI,18:33-04:00,13:42+02:00,340|54,LATI,SKBO,18:50+02:00,01:22-05:00,300
LDZA,SKBO,04:20+02:00,12:46-05:00,1,false|320,LDZA,SVMI,04:20+02:00,10:08-04:00,320|289,SVMI,EDDI,11:45-04:00,05:17+02:00,300|58,EDDI,SKBO,06:53+02:00,12:46-05:00,340
LDZA,SKBO,04:20+02:00,20:00-05:00,1,false|320,LDZA,SVMI,04:20+02:00,10:08-04:00,320|289,SVMI,EDDI,11:45-04:00,05:17+02:00,300|60,EDDI,SKBO,14:07+02:00,20:00-05:00,300
LDZA,SKBO,04:20+02:00,01:40-05:00,2,false|320,LDZA,SVMI,04:20+02:00,10:08-04:00,320|289,SVMI,EDDI,11:45-04:00,05:17+02:00,300|62,EDDI,SKBO,19:47+02:00,01:40-05:00,340
LDZA,SKBO,04:20+02:00,20:00-05:00,1,false|320,LDZA,SVMI,04:20+02:00,10:08-04:00,320|291,SVMI,EDDI,17:38-04:00,11:10+02:00,340|60,EDDI,SKBO,14:07+02:00,20:00-05:00,300
LDZA,SKBO,04:20+02:00,01:40-05:00,2,false|320,LDZA,SVMI,04:20+02:00,10:08-04:00,320|291,SVMI,EDDI,17:38-04:00,11:10+02:00,340|62,EDDI,SKBO,19:47+02:00,01:40-05:00,340
LDZA,SKBO,04:20+02:00,02:06-05:00,2,false|320,LDZA,SVMI,04:20+02:00,10:08-04:00,320|293,SVMI,LOWW,21:54-04:00,15:42+02:00,360|66,LOWW,SKBO,19:56+02:00,02:06-05:00,360
LDZA,SKBO,04:20+02:00,21:48-05:00,1,false|320,LDZA,SVMI,04:20+02:00,10:08-04:00,320|297,SVMI,EBCI,20:57-04:00,13:40+02:00,360|70,EBCI,SKBO,15:43+02:00,21:48-05:00,340
LDZA,SKBO,08:29+02:00,16:58-05:00,0,false|322,LDZA,SVMI,08:29+02:00,14:17-04:00,340|10,SVMI,SKBO,14:35-04:00,16:58-05:00,340
LDZA,SKBO,08:29+02:00,23:15-05:00,0,false|322,LDZA,SVMI,08:29+02:00,14:17-04:00,340|12,SVMI,SKBO,21:52-04:00,23:15-05:00,360
LDZA,SKBO,08:29+02:00,21:42-05:00,0,false|322,LDZA,SVMI,08:29+02:00,14:17-04:00,340|74,SVMI,SEQM,14:49-04:00,17:59-05:00,300|6,SEQM,SKBO,19:55-05:00,21:42-05:00,360
LDZA,SKBO,08:29+02:00,19:28-05:00,1,false|322,LDZA,SVMI,08:29+02:00,14:17-04:00,340|249,SVMI,SBBR,20:41-04:00,03:03-03:00,300|16,SBBR,SKBO,15:53-03:00,19:28-05:00,360
LDZA,SKBO,08:29+02:00,01:32-05:00,2,false|322,LDZA,SVMI,08:29+02:00,14:17-04:00,340|249,SVMI,SBBR,20:41-04:00,03:03-03:00,300|18,SBBR,SKBO,21:57-03:00,01:32-05:00,360
LDZA,SKBO,08:29+02:00,10:27-05:00,1,false|322,LDZA,SVMI,08:29+02:00,14:17-04:00,340|271,SVMI,SGAS,22:21-04:00,05:23-04:00,320|40,SGAS,SKBO,05:47-04:00,10:27-05:00,340
LDZA,SKBO,08:29+02:00,13:50-05:00,1,false|322,LDZA,SVMI,08:29+02:00,14:17-04:00,340|271,SVMI,SGAS,22:21-04:00,05:23-04:00,320|42,SGAS,SKBO,08:10-04:00,13:50-05:00,300
LDZA,SKBO,08:29+02:00,20:51-05:00,1,false|322,LDZA,SVMI,08:29+02:00,14:17-04:00,340|271,SVMI,SGAS,22:21-04:00,05:23-04:00,320|44,SGAS,SKBO,15:11-04:00,20:51-05:00,320
LDZA,SKBO,08:29+02:00,02:43-05:00,2,false|322,LDZA,SVMI,08:29+02:00,14:17-04:00,340|271,SVMI,SGAS,22:21-04:00,05:23-04:00,320|46,SGAS,SKBO,21:03-04:00,02:43-05:00,320
LDZA,SKBO,08:29+02:00,17:51-05:00,1,false|322,LDZA,SVMI,08:29+02:00,14:17-04:00,340|279,SVMI,SUAA,19:49-04:00,04:06-03:00,300|48,SUAA,SKBO,12:02-03:00,17:51-05:00,340
LDZA,SKBO,08:29+02:00,01:22-05:00,2,false|322,LDZA,SVMI,08:29+02:00,14:17-04:00,340|285,SVMI,LATI,18:33-04:00,13:42+02:00,340|54,LATI,SKBO,18:50+02:00,01:22-05:00,300
LDZA,SKBO,08:29+02:00,20:00-05:00,1,false|322,LDZA,SVMI,08:29+02:00,14:17-04:00,340|291,SVMI,EDDI,17:38-04:00,11:10+02:00,340|60,EDDI,SKBO,14:07+02:00,20:00-05:00,300
LDZA,SKBO,08:29+02:00,01:40-05:00,2,false|322,LDZA,SVMI,08:29+02:00,14:17-04:00,340|291,SVMI,EDDI,17:38-04:00,11:10+02:00,340|62,EDDI,SKBO,19:47+02:00,01:40-05:00,340
LDZA,SKBO,08:29+02:00,02:06-05:00,2,false|322,LDZA,SVMI,08:29+02:00,14:17-04:00,340|293,SVMI,LOWW,21:54-04:00,15:42+02:00,360|66,LOWW,SKBO,19:56+02:00,02:06-05:00,360
LDZA,SKBO,08:29+02:00,21:48-05:00,1,false|322,LDZA,SVMI,08:29+02:00,14:17-04:00,340|297,SVMI,EBCI,20:57-04:00,13:40+02:00,360|70,EBCI,SKBO,15:43+02:00,21:48-05:00,340
LDZA,SKBO,21:45+02:00,08:56-05:00,1,false|324,LDZA,SVMI,21:45+02:00,03:33-04:00,360|8,SVMI,SKBO,06:33-04:00,08:56-05:00,340
LDZA,SKBO,21:45+02:00,16:58-05:00,1,false|324,LDZA,SVMI,21:45+02:00,03:33-04:00,360|10,SVMI,SKBO,14:35-04:00,16:58-05:00,340
LDZA,SKBO,21:45+02:00,23:15-05:00,1,false|324,LDZA,SVMI,21:45+02:00,03:33-04:00,360|12,SVMI,SKBO,21:52-04:00,23:15-05:00,360
LDZA,SKBO,21:45+02:00,21:42-05:00,1,false|324,LDZA,SVMI,21:45+02:00,03:33-04:00,360|74,SVMI,SEQM,14:49-04:00,17:59-05:00,300|6,SEQM,SKBO,19:55-05:00,21:42-05:00,360
LDZA,SKBO,21:45+02:00,19:28-05:00,2,false|324,LDZA,SVMI,21:45+02:00,03:33-04:00,360|249,SVMI,SBBR,20:41-04:00,03:03-03:00,300|16,SBBR,SKBO,15:53-03:00,19:28-05:00,360
LDZA,SKBO,21:45+02:00,22:25-05:00,1,false|324,LDZA,SVMI,21:45+02:00,03:33-04:00,360|251,SVMI,SPIM,05:03-04:00,09:29-05:00,300|24,SPIM,SKBO,18:09-05:00,22:25-05:00,340
LDZA,SKBO,21:45+02:00,22:25-05:00,1,false|324,LDZA,SVMI,21:45+02:00,03:33-04:00,360|253,SVMI,SPIM,06:23-04:00,10:49-05:00,320|24,SPIM,SKBO,18:09-05:00,22:25-05:00,340
LDZA,SKBO,21:45+02:00,22:25-05:00,1,false|324,LDZA,SVMI,21:45+02:00,03:33-04:00,360|255,SVMI,SPIM,13:09-04:00,17:35-05:00,360|24,SPIM,SKBO,18:09-05:00,22:25-05:00,340
LDZA,SKBO,21:45+02:00,02:40-05:00,2,false|324,LDZA,SVMI,21:45+02:00,03:33-04:00,360|265,SVMI,SABE,09:46-04:00,18:00-03:00,320|38,SABE,SKBO,21:57-03:00,02:40-05:00,340
LDZA,SKBO,21:45+02:00,20:51-05:00,1,false|324,LDZA,SVMI,21:45+02:00,03:33-04:00,360|269,SVMI,SGAS,08:58-04:00,15:00-04:00,360|44,SGAS,SKBO,15:11-04:00,20:51-05:00,320
LDZA,SKBO,21:45+02:00,02:43-05:00,2,false|324,LDZA,SVMI,21:45+02:00,03:33-04:00,360|269,SVMI,SGAS,08:58-04:00,15:00-04:00,360|46,SGAS,SKBO,21:03-04:00,02:43-05:00,320
LDZA,SKBO,21:45+02:00,10:27-05:00,2,false|324,LDZA,SVMI,21:45+02:00,03:33-04:00,360|271,SVMI,SGAS,22:21-04:00,05:23-04:00,320|40,SGAS,SKBO,05:47-04:00,10:27-05:00,340
LDZA,SKBO,21:45+02:00,13:50-05:00,2,false|324,LDZA,SVMI,21:45+02:00,03:33-04:00,360|271,SVMI,SGAS,22:21-04:00,05:23-04:00,320|42,SGAS,SKBO,08:10-04:00,13:50-05:00,300
LDZA,SKBO,21:45+02:00,20:51-05:00,2,false|324,LDZA,SVMI,21:45+02:00,03:33-04:00,360|271,SVMI,SGAS,22:21-04:00,05:23-04:00,320|44,SGAS,SKBO,15:11-04:00,20:51-05:00,320
LDZA,SKBO,21:45+02:00,17:51-05:00,2,false|324,LDZA,SVMI,21:45+02:00,03:33-04:00,360|279,SVMI,SUAA,19:49-04:00,04:06-03:00,300|48,SUAA,SKBO,12:02-03:00,17:51-05:00,340
LDZA,SKBO,21:45+02:00,15:49-05:00,2,false|324,LDZA,SVMI,21:45+02:00,03:33-04:00,360|283,SVMI,LATI,11:29-04:00,06:38+02:00,320|52,LATI,SKBO,08:17+02:00,15:49-05:00,360
LDZA,SKBO,21:45+02:00,12:46-05:00,2,false|324,LDZA,SVMI,21:45+02:00,03:33-04:00,360|289,SVMI,EDDI,11:45-04:00,05:17+02:00,300|58,EDDI,SKBO,06:53+02:00,12:46-05:00,340
LDZA,SKBO,21:45+02:00,20:00-05:00,2,false|324,LDZA,SVMI,21:45+02:00,03:33-04:00,360|289,SVMI,EDDI,11:45-04:00,05:17+02:00,300|60,EDDI,SKBO,14:07+02:00,20:00-05:00,300
LDZA,SKBO,21:45+02:00,20:00-05:00,2,false|324,LDZA,SVMI,21:45+02:00,03:33-04:00,360|291,SVMI,EDDI,17:38-04:00,11:10+02:00,340|60,EDDI,SKBO,14:07+02:00,20:00-05:00,300
LDZA,SKBO,21:45+02:00,11:54-05:00,2,false|324,LDZA,SVMI,21:45+02:00,03:33-04:00,360|295,SVMI,EBCI,09:37-04:00,02:20+02:00,300|68,EBCI,SKBO,05:49+02:00,11:54-05:00,360
LDZA,SKBO,09:16+02:00,01:32-05:00,1,false|472,LDZA,SBBR,09:16+02:00,17:50-03:00,360|18,SBBR,SKBO,21:57-03:00,01:32-05:00,360
LDZA,SKBO,09:16+02:00,11:08-05:00,1,false|472,LDZA,SBBR,09:16+02:00,17:50-03:00,360|403,SBBR,SCEL,22:16-03:00,03:07-03:00,340|28,SCEL,SKBO,06:56-03:00,11:08-05:00,300
LDZA,SKBO,09:16+02:00,15:55-05:00,1,false|472,LDZA,SBBR,09:16+02:00,17:50-03:00,360|403,SBBR,SCEL,22:16-03:00,03:07-03:00,340|30,SCEL,SKBO,10:43-03:00,15:55-05:00,340
LDZA,SKBO,09:16+02:00,22:53-05:00,1,false|472,LDZA,SBBR,09:16+02:00,17:50-03:00,360|403,SBBR,SCEL,22:16-03:00,03:07-03:00,340|32,SCEL,SKBO,17:41-03:00,22:53-05:00,360
LDZA,SKBO,09:16+02:00,07:40-05:00,1,false|472,LDZA,SBBR,09:16+02:00,17:50-03:00,360|411,SBBR,SABE,20:43-03:00,00:42-03:00,320|34,SABE,SKBO,02:57-03:00,07:40-05:00,320
LDZA,SKBO,09:16+02:00,14:27-05:00,1,false|472,LDZA,SBBR,09:16+02:00,17:50-03:00,360|411,SBBR,SABE,20:43-03:00,00:42-03:00,320|36,SABE,SKBO,09:44-03:00,14:27-05:00,340
LDZA,SKBO,09:16+02:00,02:40-05:00,2,false|472,LDZA,SBBR,09:16+02:00,17:50-03:00,360|411,SBBR,SABE,20:43-03:00,00:42-03:00,320|38,SABE,SKBO,21:57-03:00,02:40-05:00,340
LDZA,SKBO,09:16+02:00,10:27-05:00,1,false|472,LDZA,SBBR,09:16+02:00,17:50-03:00,360|419,SBBR,SGAS,22:32-03:00,00:27-04:00,320|40,SGAS,SKBO,05:47-04:00,10:27-05:00,340
LDZA,SKBO,09:16+02:00,13:50-05:00,1,false|472,LDZA,SBBR,09:16+02:00,17:50-03:00,360|419,SBBR,SGAS,22:32-03:00,00:27-04:00,320|42,SGAS,SKBO,08:10-04:00,13:50-05:00,300
LDZA,SKBO,09:16+02:00,20:51-05:00,1,false|472,LDZA,SBBR,09:16+02:00,17:50-03:00,360|419,SBBR,SGAS,22:32-03:00,00:27-04:00,320|44,SGAS,SKBO,15:11-04:00,20:51-05:00,320
LDZA,SKBO,09:16+02:00,02:43-05:00,2,false|472,LDZA,SBBR,09:16+02:00,17:50-03:00,360|419,SBBR,SGAS,22:32-03:00,00:27-04:00,320|46,SGAS,SKBO,21:03-04:00,02:43-05:00,320
LDZA,SKBO,09:16+02:00,01:22-05:00,2,false|472,LDZA,SBBR,09:16+02:00,17:50-03:00,360|433,SBBR,LATI,18:21-03:00,12:55+02:00,340|54,LATI,SKBO,18:50+02:00,01:22-05:00,300
LDZA,SKBO,12:12+02:00,01:32-05:00,1,false|474,LDZA,SBBR,12:12+02:00,20:46-03:00,340|18,SBBR,SKBO,21:57-03:00,01:32-05:00,360
LDZA,SKBO,12:12+02:00,11:08-05:00,1,false|474,LDZA,SBBR,12:12+02:00,20:46-03:00,340|403,SBBR,SCEL,22:16-03:00,03:07-03:00,340|28,SCEL,SKBO,06:56-03:00,11:08-05:00,300
LDZA,SKBO,12:12+02:00,15:55-05:00,1,false|474,LDZA,SBBR,12:12+02:00,20:46-03:00,340|403,SBBR,SCEL,22:16-03:00,03:07-03:00,340|30,SCEL,SKBO,10:43-03:00,15:55-05:00,340
LDZA,SKBO,12:12+02:00,22:53-05:00,1,false|474,LDZA,SBBR,12:12+02:00,20:46-03:00,340|403,SBBR,SCEL,22:16-03:00,03:07-03:00,340|32,SCEL,SKBO,17:41-03:00,22:53-05:00,360
